stazione,data,Sb,Sb_flag,As,As_flag,Cd,Cd_flag,Cr,Cr_flag,Fe,Fe_flag,Mn,Mn_flag,Hg,Hg_flag,Ni,Ni_flag,Pb,Pb_flag,Cu,Cu_flag,Se,Se_flag,Tl,Tl_flag,V,V_flag,Zn,Zn_flag
foscolo,17/01/2021,2.1,0,0.5,1,0.4,0,6.4,0,210.5,0,10.3,0,0.1,1,2,0,10.5,0,7.6,0,0.5,1,0.5,1,1.3,0,73.5,0
foscolo,18/01/2021,7.7,0,0.5,1,0.5,0,9.5,0,241.1,0,13,0,0.1,1,3.4,0,11.7,0,8.5,0,0.5,1,0.5,1,1.4,0,78.3,0
foscolo,19/01/2021,12.3,0,2.9,0,0.9,0,25.2,0,646.6,0,26.2,0,0.1,1,6.7,0,31.8,0,20.9,0,1.1,0,0.5,1,2.1,0,176.8,0
foscolo,20/01/2021,5.7,0,1.5,0,0.8,0,15.4,0,652.7,0,21.5,0,0.1,1,9.1,0,27.5,0,18.8,0,0.5,1,0.5,1,2,0,122.8,0
foscolo,21/01/2021,5.3,0,2.1,0,0.7,0,10.5,0,467.3,0,17.2,0,0.1,1,4.1,0,15.6,0,15,0,0.5,1,0.5,1,2,0,103.9,0
foscolo,22/01/2021,3.9,0,0.5,1,0.5,0,7,0,210.9,0,8.9,0,0.1,1,2.7,0,8.7,0,7.2,0,0.5,1,0.5,1,2.1,0,52.8,0
foscolo,23/01/2021,3.7,0,0.5,1,0.5,0,13.1,0,66.9,0,3.4,0,0.1,1,2.2,0,3.2,0,4.2,0,0.5,1,0.5,1,1.5,0,22.5,0
foscolo,24/01/2021,4.3,0,0.5,1,0.8,0,13.5,0,112.4,0,5.4,0,0.1,1,2.3,0,24.9,0,5.7,0,0.5,1,0.5,1,1.7,0,49.9,0
foscolo,25/01/2021,10.7,0,0.5,1,1.8,0,15.3,0,345.3,0,12.8,0,0.1,1,3,0,73,0,11.9,0,5.6,0,0.5,1,2,0,92.7,0
foscolo,26/01/2021,19.6,0,1.2,0,40.2,0,20.2,0,468.1,0,18.8,0,0.1,1,4.5,0,57.8,0,15.7,0,27.8,0,0.5,1,2.1,0,130.2,0
foscolo,27/01/2021,16.7,0,1.4,0,1.4,0,18.8,0,601.7,0,24.5,0,0.1,1,3.7,0,23.1,0,22.4,0,1.8,0,0.5,1,2.2,0,165,0
foscolo,28/01/2021,15,0,2.1,0,3.3,0,19.3,0,648,0,25.7,0,0.1,1,4.5,0,24.9,0,26.4,0,2,0,0.5,1,2.7,0,148,0
