rec_n,x,y,z,max,pct98,exc_1h,n_epis,dur_epis,dist_x_y,rec_lab,samtype,pktime,PMR_type,PMR_lab,out_model,system
24,735859,5071266,2,0.4501,0.152,0,0,0,2400,R24,max,5,dynamic,d_max_5s,out_04,lapmod
25,735759,5071166,2,0.4361,0.1326,0,0,0,2500,R25,max,5,dynamic,d_max_5s,out_04,lapmod
1,738159,5073566,2,10.98,5.296,1611,570,12,100,R1,avg,60,dynamic,d_avg_60s,out_05,lapmod
2,738059,5073466,2,5.426,2.361,845,382,11,200,R2,avg,60,dynamic,d_avg_60s,out_05,lapmod
3,737959,5073366,2,3.146,1.146,278,201,5,300,R3,avg,60,dynamic,d_avg_60s,out_05,lapmod
4,737859,5073266,2,2.189,0.6949,42,39,2,400,R4,avg,60,dynamic,d_avg_60s,out_05,lapmod
5,737759,5073166,2,1.787,0.4551,9,9,1,500,R5,avg,60,dynamic,d_avg_60s,out_05,lapmod
6,737659,5073066,2,1.421,0.3743,6,6,1,600,R6,avg,60,dynamic,d_avg_60s,out_05,lapmod
7,737559,5072966,2,1.117,0.3091,1,1,1,700,R7,avg,60,dynamic,d_avg_60s,out_05,lapmod
8,737459,5072866,2,0.9554,0.2411,0,0,0,800,R8,avg,60,dynamic,d_avg_60s,out_05,lapmod
9,737359,5072766,2,0.7492,0.2018,0,0,0,900,R9,avg,60,dynamic,d_avg_60s,out_05,lapmod
10,737259,5072666,2,0.6355,0.163,0,0,0,1000,R10,avg,60,dynamic,d_avg_60s,out_05,lapmod
11,737159,5072566,2,0.4972,0.1437,0,0,0,1100,R11,avg,60,dynamic,d_avg_60s,out_05,lapmod
12,737059,5072466,2,0.4525,0.1307,0,0,0,1200,R12,avg,60,dynamic,d_avg_60s,out_05,lapmod
13,736959,5072366,2,0.3947,0.1154,0,0,0,1300,R13,avg,60,dynamic,d_avg_60s,out_05,lapmod
14,736859,5072266,2,0.3666,0.1076,0,0,0,1400,R14,avg,60,dynamic,d_avg_60s,out_05,lapmod
15,736759,5072166,2,0.3412,0.09417,0,0,0,1500,R15,avg,60,dynamic,d_avg_60s,out_05,lapmod
16,736659,5072066,2,0.3271,0.09222,0,0,0,1600,R16,avg,60,dynamic,d_avg_60s,out_05,lapmod
17,736559,5071966,2,0.3447,0.08518,0,0,0,1700,R17,avg,60,dynamic,d_avg_60s,out_05,lapmod
18,736459,5071866,2,0.3791,0.07875,0,0,0,1800,R18,avg,60,dynamic,d_avg_60s,out_05,lapmod
19,736359,5071766,2,0.3803,0.07628,0,0,0,1900,R19,avg,60,dynamic,d_avg_60s,out_05,lapmod
20,736259,5071666,2,0.3293,0.07248,0,0,0,2000,R20,avg,60,dynamic,d_avg_60s,out_05,lapmod
21,736159,5071566,2,0.288,0.06823,0,0,0,2100,R21,avg,60,dynamic,d_avg_60s,out_05,lapmod
22,736059,5071466,2,0.269,0.06366,0,0,0,2200,R22,avg,60,dynamic,d_avg_60s,out_05,lapmod
23,735959,5071366,2,0.2325,0.05828,0,0,0,2300,R23,avg,60,dynamic,d_avg_60s,out_05,lapmod
24,735859,5071266,2,0.2062,0.05231,0,0,0,2400,R24,avg,60,dynamic,d_avg_60s,out_05,lapmod
25,735759,5071166,2,0.1958,0.04278,0,0,0,2500,R25,avg,60,dynamic,d_avg_60s,out_05,lapmod
1,738159,5073566,2,9.175,3.203,1940,862,14,100,R1,max,60,dynamic,d_max_60s,out_06,lapmod
2,738059,5073466,2,5.915,1.826,1060,664,7,200,R2,max,60,dynamic,d_max_60s,out_06,lapmod
3,737959,5073366,2,2.854,1.401,482,378,4,300,R3,max,60,dynamic,d_max_60s,out_06,lapmod
4,737859,5073266,2,2.358,1.234,315,250,3,400,R4,max,60,dynamic,d_max_60s,out_06,lapmod
5,737759,5073166,2,4.522,1.001,179,150,3,500,R5,max,60,dynamic,d_max_60s,out_06,lapmod
6,737659,5073066,2,2.493,0.9045,112,102,2,600,R6,max,60,dynamic,d_max_60s,out_06,lapmod
7,737559,5072966,2,1.329,0.7743,21,20,2,700,R7,max,60,dynamic,d_max_60s,out_06,lapmod
8,737459,5072866,2,1.713,0.6498,8,8,1,800,R8,max,60,dynamic,d_max_60s,out_06,lapmod
9,737359,5072766,2,2.548,0.5574,4,4,1,900,R9,max,60,dynamic,d_max_60s,out_06,lapmod
10,737259,5072666,2,2.245,0.4632,2,2,1,1000,R10,max,60,dynamic,d_max_60s,out_06,lapmod
11,737159,5072566,2,1.093,0.4126,1,1,1,1100,R11,max,60,dynamic,d_max_60s,out_06,lapmod
12,737059,5072466,2,1.096,0.3641,1,1,1,1200,R12,max,60,dynamic,d_max_60s,out_06,lapmod
13,736959,5072366,2,0.8111,0.3145,0,0,0,1300,R13,max,60,dynamic,d_max_60s,out_06,lapmod
14,736859,5072266,2,0.8827,0.2915,0,0,0,1400,R14,max,60,dynamic,d_max_60s,out_06,lapmod
15,736759,5072166,2,0.7061,0.2609,0,0,0,1500,R15,max,60,dynamic,d_max_60s,out_06,lapmod
16,736659,5072066,2,0.7269,0.2483,0,0,0,1600,R16,max,60,dynamic,d_max_60s,out_06,lapmod
17,736559,5071966,2,0.9734,0.2319,0,0,0,1700,R17,max,60,dynamic,d_max_60s,out_06,lapmod
18,736459,5071866,2,1.106,0.2136,1,1,1,1800,R18,max,60,dynamic,d_max_60s,out_06,lapmod
19,736359,5071766,2,0.7203,0.2055,0,0,0,1900,R19,max,60,dynamic,d_max_60s,out_06,lapmod
20,736259,5071666,2,0.5897,0.1906,0,0,0,2000,R20,max,60,dynamic,d_max_60s,out_06,lapmod
21,736159,5071566,2,0.6222,0.1773,0,0,0,2100,R21,max,60,dynamic,d_max_60s,out_06,lapmod
22,736059,5071466,2,0.6092,0.1671,0,0,0,2200,R22,max,60,dynamic,d_max_60s,out_06,lapmod
23,735959,5071366,2,0.5255,0.158,0,0,0,2300,R23,max,60,dynamic,d_max_60s,out_06,lapmod
24,735859,5071266,2,0.4501,0.1505,0,0,0,2400,R24,max,60,dynamic,d_max_60s,out_06,lapmod
25,735759,5071166,2,0.4361,0.1291,0,0,0,2500,R25,max,60,dynamic,d_max_60s,out_06,lapmod
