data,recettore,stima,valore
2017-09-22,foscolo,calpuff,0.2196611
2017-09-22,marco,calpuff,0.1601376
2017-09-22,serenella,calpuff,0.5967587
2017-09-22,foscolo,misura,12.8
2017-09-22,marco,misura,13.3
2017-09-22,serenella,misura,5.7
2017-09-23,foscolo,calpuff,0.3369259
2017-09-23,marco,calpuff,0.3687507
2017-09-23,serenella,calpuff,0.274925
2017-09-23,foscolo,misura,1.6
2017-09-23,marco,misura,7.2
2017-09-23,serenella,misura,1.2
2017-09-24,foscolo,calpuff,0.09177645
2017-09-24,marco,calpuff,1.19842
2017-09-24,serenella,calpuff,0
2017-09-24,foscolo,misura,1.8
2017-09-24,marco,misura,33.5
2017-09-24,serenella,misura,0.2
2017-09-25,foscolo,calpuff,0.1274984
2017-09-25,marco,calpuff,0.2055458
2017-09-25,serenella,calpuff,0.1175929
2017-09-25,foscolo,misura,2.7
2017-09-25,marco,misura,15.7
2017-09-25,serenella,misura,20.7
2017-09-26,foscolo,calpuff,0.1147872
2017-09-26,marco,calpuff,0.3106201
2017-09-26,serenella,calpuff,0.1122609
2017-09-26,foscolo,misura,2.5
2017-09-26,marco,misura,20.4
2017-09-26,serenella,misura,2.2
2017-09-27,foscolo,calpuff,0.2962452
2017-09-27,marco,calpuff,0.4982282
2017-09-27,serenella,calpuff,0.1600223
2017-09-27,foscolo,misura,6.1
2017-09-27,marco,misura,138.7
2017-09-27,serenella,misura,14.2
2017-09-28,foscolo,calpuff,0.5317817
2017-09-28,marco,calpuff,0.5643753
2017-09-28,serenella,calpuff,0.2995769
2017-09-28,foscolo,misura,1.1
2017-09-28,marco,misura,115.1
2017-09-28,serenella,misura,0.9
2017-09-29,foscolo,calpuff,0.3758973
2017-09-29,marco,calpuff,0.7353736
2017-09-29,serenella,calpuff,0.2698104
2017-09-29,foscolo,misura,6.2
2017-09-29,marco,misura,11.4
2017-09-29,serenella,misura,1.9
2017-09-30,foscolo,calpuff,0.471503
2017-09-30,marco,calpuff,0.7024847
2017-09-30,serenella,calpuff,0.168711
2017-09-30,foscolo,misura,1
2017-09-30,marco,misura,9.8
2017-09-30,serenella,misura,0.3
2017-10-01,foscolo,calpuff,0.1902833
2017-10-01,marco,calpuff,0.473751
2017-10-01,serenella,calpuff,0.01075726
2017-10-01,foscolo,misura,0.9
2017-10-01,marco,misura,204.8
2017-10-01,serenella,misura,0.2
2017-10-02,foscolo,calpuff,0.3582713
2017-10-02,marco,calpuff,0.07553242
2017-10-02,serenella,calpuff,0.3152197
2017-10-02,foscolo,misura,14.8
2017-10-02,marco,misura,2
2017-10-02,serenella,misura,18.5
2017-10-03,foscolo,calpuff,0.339117
2017-10-03,marco,calpuff,0.4507215
2017-10-03,serenella,calpuff,0.1553147
2017-10-03,foscolo,misura,8.9
2017-10-03,marco,misura,9.8
2017-10-03,serenella,misura,3.2
2017-10-04,foscolo,calpuff,0.5038959
2017-10-04,marco,calpuff,0.3087649
2017-10-04,serenella,calpuff,0.04291905
2017-10-04,foscolo,misura,9.2
2017-10-04,marco,misura,6.8
2017-10-04,serenella,misura,0.4
2017-10-05,foscolo,calpuff,0.3354517
2017-10-05,marco,calpuff,0.2252975
2017-10-05,serenella,calpuff,0.1545706
2017-10-05,foscolo,misura,532.7
2017-10-05,marco,misura,3.5
2017-10-05,serenella,misura,78.8
2017-10-06,foscolo,calpuff,0.7193663
2017-10-06,marco,calpuff,0.1827733
2017-10-06,serenella,calpuff,0.2996794
2017-10-06,foscolo,misura,152.3
2017-10-06,marco,misura,26.6
2017-10-06,serenella,misura,80.7
2017-10-07,foscolo,calpuff,0.5540727
2017-10-07,marco,calpuff,0.1887882
2017-10-07,serenella,calpuff,0.2386497
2017-10-07,foscolo,misura,18
2017-10-07,marco,misura,9.9
2017-10-07,serenella,misura,1.2
2017-10-08,foscolo,calpuff,0.5912846
2017-10-08,marco,calpuff,0.306648
2017-10-08,serenella,calpuff,0.06987063
2017-10-08,foscolo,misura,60.5
2017-10-08,marco,misura,4.1
2017-10-08,serenella,misura,0.5
2017-10-09,foscolo,calpuff,0.1898773
2017-10-09,marco,calpuff,0.1095644
2017-10-09,serenella,calpuff,0.2774213
2017-10-09,foscolo,misura,167.3
2017-10-09,marco,misura,26
2017-10-09,serenella,misura,11.1
2017-10-10,foscolo,calpuff,0.5843578
2017-10-10,marco,calpuff,0.1671666
2017-10-10,serenella,calpuff,0.2310104
2017-10-10,foscolo,misura,1176.6
2017-10-10,marco,misura,14.5
2017-10-10,serenella,misura,7
2017-10-11,foscolo,calpuff,0.3170091
2017-10-11,marco,calpuff,0.1146564
2017-10-11,serenella,calpuff,0.2515083
2017-10-11,foscolo,misura,543.7
2017-10-11,marco,misura,24.8
2017-10-11,serenella,misura,11
2017-10-12,foscolo,calpuff,0.4223987
