data,recettore,stima,valore
2017-09-05,serenella,base,0.5905365545833333
2017-09-05,foscolo,bdnpr,0.14337707375
2017-09-05,marco,bdnpr,0.05045880882875
2017-09-05,serenella,bdnpr,0.6546710316666666
2017-09-05,foscolo,misure,3
2017-09-05,marco,misure,2.1
2017-09-05,serenella,misure,21
2017-09-06,foscolo,base,0.1594272353275
2017-09-06,marco,base,0.16838774678958335
2017-09-06,serenella,base,0.08189428708333334
2017-09-06,foscolo,bdnpr,0.07539155235125
2017-09-06,marco,bdnpr,0.1737653920416667
2017-09-06,serenella,bdnpr,0.06346325837875
2017-09-06,foscolo,misure,8.7
2017-09-06,marco,misure,1.8
2017-09-06,serenella,misure,8.6
2017-09-07,foscolo,base,0.019210431125
2017-09-07,marco,base,0.026033623283333335
2017-09-07,serenella,base,0.0963425575
2017-09-07,foscolo,bdnpr,0.013619888691666667
2017-09-07,marco,bdnpr,0.013131399309166666
2017-09-07,serenella,bdnpr,0.0525195875
2017-09-07,foscolo,misure,1.2
2017-09-07,marco,misure,4.8
2017-09-07,serenella,misure,0.7
2017-09-08,foscolo,base,0.10020488333333334
2017-09-08,marco,base,0.04543642387500001
2017-09-08,serenella,base,0.06217608875
2017-09-08,foscolo,bdnpr,0.09236300041666666
2017-09-08,marco,bdnpr,0.051546772
2017-09-08,serenella,bdnpr,0.046117428291666665
2017-09-08,foscolo,misure,13.1
2017-09-08,marco,misure,87.4
2017-09-08,serenella,misure,10.2
2017-09-09,foscolo,base,0.054513636
2017-09-09,marco,base,0.07679180702124999
2017-09-09,serenella,base,0.07183660587583333
2017-09-09,foscolo,bdnpr,0.04494011616666667
2017-09-09,marco,bdnpr,0.05640782892654167
2017-09-09,serenella,bdnpr,0.058453109866666665
2017-09-09,foscolo,misure,1.5
2017-09-09,marco,misure,1.4
2017-09-09,serenella,misure,0.8
2017-09-10,foscolo,base,0.12536425416666666
2017-09-10,marco,base,0.12357593275
2017-09-10,serenella,base,0.10997810408333333
2017-09-10,foscolo,bdnpr,0.12348112500000001
2017-09-10,marco,bdnpr,0.11537314166666666
2017-09-10,serenella,bdnpr,0.08674307166666667
2017-09-10,foscolo,misure,1
2017-09-10,marco,misure,2.3
2017-09-10,serenella,misure,0.4
2017-09-11,foscolo,base,0.16325639291666666
2017-09-11,marco,base,0.24136942916666668
2017-09-11,serenella,base,0.05629001933333334
2017-09-11,foscolo,bdnpr,0.12070011250000001
2017-09-11,marco,bdnpr,0.2718344166666667
2017-09-11,serenella,bdnpr,0.06098957095833333
2017-09-11,foscolo,misure,11.1
2017-09-11,marco,misure,25.8
2017-09-11,serenella,misure,0.3
2017-09-12,foscolo,base,0.3950475
2017-09-12,marco,base,1.5589768333333334
2017-09-12,serenella,base,0.028548163382666667
2017-09-12,foscolo,bdnpr,0.27243696666666667
2017-09-12,marco,bdnpr,2.674131120833333
2017-09-12,serenella,bdnpr,0.01850738279166667
2017-09-12,foscolo,misure,6
2017-09-12,marco,misure,25.2
2017-09-12,serenella,misure,0.2
2017-09-13,foscolo,base,0.672014274375
2017-09-13,marco,base,0.24033884426666666
2017-09-13,serenella,base,0.13018893320833333
2017-09-13,foscolo,bdnpr,0.8672192517083334
2017-09-13,marco,bdnpr,0.6197019019583333
2017-09-13,serenella,bdnpr,0.09950289953791666
2017-09-13,foscolo,misure,182.8
2017-09-13,marco,misure,39.1
2017-09-13,serenella,misure,32.1
2017-09-14,foscolo,base,0.34044522916666664
2017-09-14,marco,base,2.723289208333333
2017-09-14,serenella,base,0.0381994599875
2017-09-14,foscolo,bdnpr,0.26468240833333334
2017-09-14,marco,bdnpr,4.735238558333333
2017-09-14,serenella,bdnpr,0.025295872875
2017-09-14,foscolo,misure,7.8
2017-09-14,marco,misure,111.7
2017-09-14,serenella,misure,4.2
2017-09-15,foscolo,base,0.4460032916666667
2017-09-15,marco,base,1.692169445125
2017-09-15,serenella,base,0.003786573458333333
2017-09-15,foscolo,bdnpr,0.43531975
2017-09-15,marco,bdnpr,3.5271451583333335
2017-09-15,serenella,bdnpr,0.003215743708333333
2017-09-15,foscolo,misure,13.8
2017-09-15,marco,misure,196.1
2017-09-15,serenella,misure,0.4
2017-09-16,foscolo,base,1.2924787500000001
2017-09-16,marco,base,1.0124165806333334
2017-09-16,serenella,base,0.10855320795166666
