 Timeseries at gridpoint ( 11 , 9 )
 YEAR MONTH   DAY  HOUR     WS        WD         T        W         PG         U*        Lmo   Prec.Rate Mix.Hgt  
                           (m/s)     (deg)      (K)     (cm/s)     class     (m/s)      (m)     (mm/hr)     (m)   
                         Layer 1   Layer 1   Layer 1   Layer 1   Layer
 2022     1     4   12      1.12    357.36    279.09      0.08      3.00      0.25    -23.48      0.00    513.74
 2022     1     4   13      0.83     49.28    279.06     -0.09      3.00      0.21    -13.31      0.00    572.61
 2022     1     4   14      1.04     27.29    279.12      0.01      3.00      0.24    -21.37      0.00    619.10
 2022     1     4   15      1.08     56.38    279.09     -0.09      3.00      0.23    -30.86      0.00    629.54
 2022     1     4   16      1.20     73.65    279.06      0.04      4.00      0.10     19.86      0.00     56.87
 2022     1     4   17      1.22     54.84    279.01     -0.02      4.00      0.10     19.86      0.00     57.15
 2022     1     4   18      1.45     41.70    278.99     -0.04      4.00      0.17     47.37      0.00    114.56
 2022     1     4   19      1.61     41.77    278.94      0.08      4.00      0.21     71.82      0.00    156.53
 2022     1     4   20      1.50     34.00    278.97      0.02      6.00      0.13     19.86      0.00     63.55
 2022     1     4   21      1.47     10.29    279.00      0.03      6.00      0.12     19.86      0.00     62.72
 2022     1     4   22      1.26     22.66    278.93      0.03      4.00      0.11     19.86      0.00     58.07
 2022     1     4   23      0.99     15.12    279.00      0.03      6.00      0.08     19.86      0.00     51.66
 2022     1     5    0      0.86    349.26    279.10     -0.01      6.00      0.07     19.86      0.00     50.00
 2022     1     5    1      0.19    299.47    278.90     -0.15      6.00      0.05     27.81      0.00     50.00
 2022     1     5    2      0.84    350.79    279.11      0.00      6.00      0.07     19.86      0.00     50.00
 2022     1     5    3      0.96     15.10    279.06      0.06      6.00      0.08     19.86      0.00     50.79
 2022     1     5    4      1.33     23.88    279.01      0.01      6.00      0.11     19.87      0.00     59.88
 2022     1     5    5      1.54     18.36    278.94      0.08      6.00      0.13     19.86      0.00     64.30
 2022     1     5    6      1.81     35.16    278.93      0.05      5.00      0.22     50.19      0.00    132.62
 2022     1     5    7      1.96     19.85    279.04      0.12      5.00      0.27     83.15      0.00    188.65
 2022     1     5    8      1.92     35.45    279.08      0.05      5.00      0.25     63.73      0.23    158.62
 2022     1     5    9      1.70     37.21    279.12      0.00      3.00      0.18     35.60      0.00    102.49
 2022     1     5   10      1.72     36.11    279.23      0.04      3.00      0.32   -123.81      0.00    358.15
 2022     1     5   11      1.59     15.80    279.41      0.07      3.00      0.31    -60.67      0.00    354.24
 2022     1     5   12      1.57     24.94    279.75     -0.02      3.00      0.32    -48.50      0.00    418.64
 2022     1     5   13      1.37      3.89    280.33      0.04      3.00      0.29    -34.87      0.00    496.54
 2022     1     5   14      1.72      0.12    280.54      0.06      2.00      0.34    -56.67      0.00    580.55
 2022     1     5   15      1.80     19.37    280.42      0.08      2.00      0.34    -84.94      0.00    604.52
 2022     1     5   16      1.97     26.03    280.30      0.11      4.00      0.34   -473.27      0.00    542.27
 2022     1     5   17      2.88    348.62    280.46      0.29      4.00      0.44    208.01      0.00    384.71
 2022     1     5   18      4.22    358.46    280.33      0.27      4.00      0.69    493.91      0.69    735.96
 2022     1     5   19      7.48     32.08    279.38      0.45      4.00      1.25   2803.42      3.62   2000.00
 2022     1     5   20      5.94     19.06    279.16      0.05      4.00      0.99   1374.10      5.34   1475.40
 2022     1     5   21     10.10     44.65    278.86      0.07      4.00      1.70   6986.23      3.93   2000.00
 2022     1     5   22     11.01     45.26    278.47      0.50      4.00      1.86   9066.22      3.18   2000.00
 2022     1     5   23      8.38     44.60    278.18      0.26      4.00      1.41   3949.81      3.16   2000.00
 2022     1     6    0      6.29     44.37    278.33     -0.07      4.00      1.05   1636.65      0.00   1658.69
 2022     1     6    1      3.27     41.96    278.03      0.06      6.00      0.50    198.96      0.00    400.04
 2022     1     6    2      3.41     45.75    278.32     -0.38      4.00      0.54    304.67      0.00    513.19
 2022     1     6    3      3.35     63.82    278.35     -0.09      4.00      0.53    293.68      0.00    499.23
 2022     1     6    4      3.41     45.11    278.56      0.35      4.00      0.55    344.79      0.00    548.42
 2022     1     6    5      1.89     24.53    278.59      0.43      5.00      0.24     60.01      0.00    151.70
 2022     1     6    6      2.33    347.23    278.47      0.27      5.00      0.34    118.31      0.00    252.41
 2022     1     6    7      2.53    337.06    278.38      0.22      5.00      0.38    148.25      0.00    298.97
 2022     1     6    8      2.56    329.37    278.35      0.17      5.00      0.37    126.37      0.00    275.19
 2022     1     6    9      2.86    336.00    278.38      0.24      4.00      0.43    168.18      0.00    340.98
 2022     1     6   10      2.62    327.22    278.49      0.16      4.00      0.46   -325.34      0.00    488.73
 2022     1     6   11      2.48    328.50    279.16      0.26      3.00      0.45   -154.28      0.00    496.23
 2022     1     6   12      2.66      0.34    279.96      0.20      3.00      0.49   -146.80      0.00    532.03
 2022     1     6   13      2.93     30.86    280.10      0.00      3.00      0.53   -180.26      0.00    968.18
 2022     1     6   14      2.58     42.45    280.05     -0.07      3.00      0.47   -150.35      0.00    837.19
 2022     1     6   15      2.50     55.61    280.03     -0.19      3.00      0.45   -208.33      0.00    901.86
 2022     1     6   16      1.95     62.39    279.96     -0.18      4.00      0.33   -956.78      0.00    831.13
 2022     1     6   17      1.62     46.22    279.49     -0.03      3.00      0.14     19.86      0.00     65.88
 2022     1     6   18      1.66     22.70    278.85      0.02      6.00      0.14     19.86      0.00     66.70
 2022     1     6   19      2.37     16.92    278.74      0.16      6.00      0.32     81.69      0.00    205.07
 2022     1     6   20      2.51     17.05    278.71      0.13      6.00      0.35     98.71      0.00    236.33
 2022     1     6   21      2.46     34.22    278.59      0.04      6.00      0.34     92.08      0.00    224.36
 2022     1     6   22      2.51     22.01    278.46      0.12      6.00      0.35     98.10      0.00    235.29
 2022     1     6   23      2.46     16.10    278.41      0.05      6.00      0.34     94.89      0.00    228.34
 2022     1     7    0      2.48     17.13    278.27      0.01      5.00      0.36    114.93      0.00    256.30
 2022     1     7    1      0.96    292.86    278.29     -0.44      6.00      0.08     19.86      0.00     50.71
 2022     1     7    2      2.73     11.78    277.95      0.10      5.00      0.41    149.13      0.00    311.71
 2022     1     7    3      3.00     42.75    277.87      0.02      6.00      0.45    163.66      0.00    343.84
